canonical_name,node_id,n_files,n_variants,variants,files
Thoravej 29,Thoravej_29,1,1,Thoravej 29,Thoravej_29_Copenhagen.md
Timber Square,Timber_Square,1,1,Timber Square,Timber_Square_London.md
TRÆ High-Rise,Tr_High_Rise,1,1,TRÆ High-Rise,TRAE_High_Rise_Aarhus.md
Upcycle Studios,Upcycle_Studios,1,1,Upcycle Studios,Upcycle_Studios_Copenhagen.md
Verbiest + Karreveld,Verbiest_Karreveld,1,1,Verbiest + Karreveld,Verbiest_Karreveld_Brussels.md
Villa Welpeloo,Villa_Welpeloo,1,1,Villa Welpeloo,Villa_Welpeloo_Enschede.md
Woongroep Boschgaard / Collectief Ecosysteem Boschgaard,Woongroep_Boschgaard_Collectief_Ecosysteem_Boschgaard,1,1,Woongroep Boschgaard / Collectief Ecosysteem Boschgaard,Woongroep_Boschgaard_Den_Bosch.md
Zinneke / Feder Masui4ever,Zinneke_Feder_Masui4ever,1,1,Zinneke / Feder Masui4ever,Zinneke_Feder_Masui4ever_Brussels.md
BOELL_LAB_Berlin,Boell_Lab_Berlin,1,1,BOELL_LAB_Berlin,BOELL_LAB_Berlin.md
Urban_Production_Brussels,Urban_Production_Brussels,1,1,Urban_Production_Brussels,Da_Vinci_Business_District.md
Vollgut_Areal,Vollgut_Areal,1,1,Vollgut_Areal,Kindl_Areal.md
ReUseBox_Heilbronn,Reusebox_Heilbronn,1,1,ReUseBox_Heilbronn,ReUseBox_Heilbronn.md
