value,count,n_files,knoten_kandidat_n>=3,files
"8,11 Mio. € excl. VAT; 728.000 € für die Halle",1,1,,Recypark_Demets_Anderlecht.md
"72,24 t Reuse-Material",1,1,,Resilience_La_Ferme_des_Possibles_Stains.md
"12,67 % Reuse-Anteil",1,1,,Resilience_La_Ferme_des_Possibles_Stains.md
"69,22 t CO₂e vermieden",1,1,,Resilience_La_Ferme_des_Possibles_Stains.md
"CO₂-/Materialeinsparungen publiziert, aber hier nicht gesichert",1,1,,Resource_Rows_Copenhagen.md
30 t Stahl / 74 t CO₂e Einsparung,1,1,,Roots_in_the_Sky_Blackfriars_Crown_Court.md
139 t salvaged steel,1,1,,Roots_in_the_Sky_Blackfriars_Crown_Court.md
ca. 87.000–88.700 kWh/a PV-Ertrag,1,1,,Saxum_Vineyard_Equipment_Barn_Paso_Robles.md
95 % wiederverwendete Materialien; Maurer United nennt 100 % Material aus Abriss,1,1,,Superlocal_Expogebouw_Bleijerheide.md
1.436 m²,1,1,,Svanen_Kindergarten_Gladsaxe.md
1.270 m²,1,1,,Svanen_Kindergarten_Gladsaxe.md
6.278 t Materialeinsparung / 178 t CO₂,1,1,,Svanen_Kindergarten_Gladsaxe.md
80 m² Vertical Farming Greenhouse,1,1,,The_Green_House_Utrecht.md
15 Jahre temporäre Nutzung,1,1,,The_Green_House_Utrecht.md
95 % Materialwiederverwendung,1,1,,Thoravej_29_Copenhagen.md
bis 88 % CO₂-Reduktion gegenüber Neubau,1,1,,Thoravej_29_Copenhagen.md
90 % Abfallreduktion,1,1,,Thoravej_29_Copenhagen.md
>500 beams; ca. 115–125 t reused steel,1,1,,Timber_Square_London.md
CO₂-Einsparung reused steel 216 oder 276 tCO₂e,1,1,,Timber_Square_London.md
30–50% embodied-carbon reduction,1,1,,TRAE_High_Rise_Aarhus.md
130.096 kg CO₂e footprint / 170.534 kg waste saved,1,1,,TRAE_High_Rise_Aarhus.md
32 % CO₂-Reduktion bei Materialien,1,1,,Upcycle_Studios_Copenhagen.md
45 % CO₂-Einsparung über 50 Jahre inkl. Betrieb,1,1,,Upcycle_Studios_Copenhagen.md
914.000 kg waste saved,1,1,,Upcycle_Studios_Copenhagen.md
Verbiest 610 m²,1,1,,Verbiest_Karreveld_Brussels.md
Karreveld 6.000.000 EUR exkl. MwSt.,1,1,,Verbiest_Karreveld_Brussels.md
ca. 60 % salvaged materials,1,1,,Villa_Welpeloo_Enschede.md
90 % CO₂-Reduktion für Konstruktion und Fassade,1,1,,Villa_Welpeloo_Enschede.md
84 % sekundäre Materialien,1,1,,Woongroep_Boschgaard_Den_Bosch.md
85 % bzw. Ziel 90 % wiederverwendete/geerntete Materialien,1,1,,Woongroep_Boschgaard_Den_Bosch.md
70 % CO₂-Einsparung gegenüber aktuellem Baustandard,1,1,,Woongroep_Boschgaard_Den_Bosch.md
700.000 € vermiedene zukünftige Umweltschäden,1,1,,Woongroep_Boschgaard_Den_Bosch.md
12 % neue Materialien second-hand nach Masse,1,1,,Zinneke_Feder_Masui4ever_Brussels.md
94 % Gebäudemasse erhalten,1,1,,Zinneke_Feder_Masui4ever_Brussels.md
