value,count,n_files,knoten_kandidat_n>=3,files
Pierre Stoffel / BESP Stoffel & Partners; Sofiane Boudahri,1,1,,Maison_Vignette_Auderghem.md
Hervé Biele / Conclus,1,1,,Mehrow_Pilot_House.md
Claus Asam / IEMB,1,1,,Mehrow_Pilot_House.md
YIT,1,1,,Melkinlaituri_Primary_School_Daycare_Centre_Helsinki.md
ReCreate Finnish cluster,1,1,,Melkinlaituri_Primary_School_Daycare_Centre_Helsinki.md
Kraaijvanger Architects,1,1,,Montessori_Maassluis.md
Vintis installatieadviseurs,1,1,,Montessori_Maassluis.md
VIA Landscape,1,1,,Montessori_Maassluis.md
Van Dijk Maasland B.V.,1,1,,Montessori_Maassluis.md
A. de Jong Groep,1,1,,Montessori_Maassluis.md
"Whitewood, Immobel, CONIX RDBM, Cordeel, Rotor, RotorDC, Madaster/EPEA",1,1,,Multi_Brussels_Reuse_in_MULTI.md
V+ / Projectiles,1,1,,Musee_de_Folklore_Mouscron.md
Simon Boudvin,1,1,,Musee_de_Folklore_Mouscron.md
"Bureau Bouwtechniek, Greisch, Daidalos Peutz, Taktyk",1,1,,Musee_de_Folklore_Mouscron.md
bureau SLA,1,1,,Peoples_Pavilion_Eindhoven.md
Overtreders W,1,1,,Peoples_Pavilion_Eindhoven.md
Dutch Design Foundation,1,1,,Peoples_Pavilion_Eindhoven.md
Ham & Sybesma,1,1,,Peoples_Pavilion_Eindhoven.md
New Horizon,1,1,,Peoples_Pavilion_Eindhoven.md
"Anna Hopp, Carsten Wiewiorra / Wiewiorra Hopp Architekten",1,1,,Plattenpalast_Berlin.md
PLP Architecture,1,1,,PLP_London_HQ_Circular_Studio_Fitout.md
Method,1,1,,PLP_London_HQ_Circular_Studio_Fitout.md
Maconda,1,1,,PLP_London_HQ_Circular_Studio_Fitout.md
Contrax Furniture,1,1,,PLP_London_HQ_Circular_Studio_Fitout.md
Solus,1,1,,PLP_London_HQ_Circular_Studio_Fitout.md
Grants of Shoreditch,1,1,,PLP_London_HQ_Circular_Studio_Fitout.md
"Julie Devènes, Jan Brütting, Célia Küpfer, Maléna Bastien-Masse, Corentin Fivet",1,1,,ReCrete_footbridge_reused_concrete_blocks.md
Nils Nolting / CITYFÖRSTER,1,1,,Recyclinghaus_Hannover.md
