severity,category,element_id,labels,node_id,node_name,property,detail,value_sample
medium,missing_name,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:17258,['DataIssue'],di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6928862793500201376,,,Node has no non-empty name property.,
medium,missing_name,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:17259,['DataIssue'],di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6924359193872830881,,,Node has no non-empty name property.,
high,legacy_path_reference,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1726,"['Quelle', 'ResearchDocument']",q_circular_construction_economics_kg_md,circular_construction_economics_kg.md,source_file,Property references retired/legacy file structures; verify before reuse.,_knowledge/themes/circular_construction_economics_kg.md
low,long_text_property,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1726,"['Quelle', 'ResearchDocument']",q_circular_construction_economics_kg_md,circular_construction_economics_kg.md,source_url_node_ids,Text/list property is 1095 characters.,"[""q_research_circular_construction_economics_kg_url_a1780454"",""q_research_circular_construction_economics_kg_url_fb6c7968"",""q_research_circular_construction_economics_kg_url_57e552af"",""q_research_circular_construction_e…"
medium,missing_name,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:17260,['DataIssue'],di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1152998470420791514,,,Node has no non-empty name property.,
medium,missing_name,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:17261,['DataIssue'],di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155250270234476762,,,Node has no non-empty name property.,
medium,missing_name,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:17262,['DataIssue'],di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1152999569932419290,,,Node has no non-empty name property.,
medium,missing_name,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:17263,['DataIssue'],di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153001768955674842,,,Node has no non-empty name property.,
medium,missing_name,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:17264,['DataIssue'],di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155253568769360090,,,Node has no non-empty name property.,
medium,missing_name,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:17265,['DataIssue'],di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155254668280987866,,,Node has no non-empty name property.,
medium,missing_name,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:17266,['DataIssue'],di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153002868467302618,,,Node has no non-empty name property.,
medium,missing_name,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:17267,['DataIssue'],di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153005067490558170,,,Node has no non-empty name property.,
medium,missing_name,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:17268,['DataIssue'],di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153009465537069274,,,Node has no non-empty name property.,
medium,missing_name,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:17269,['DataIssue'],di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153010565048697050,,,Node has no non-empty name property.,
medium,url_in_non_url_property,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1727,"['Quelle', 'ExternalLink', 'ResearchDocument']",q_research_circular_construction_economics_kg_url_a1780454,https://recreate-project.eu/?utm_source=chatgpt.com,title,URL-like text appears in a non-URL/provenance property.,https://recreate-project.eu/?utm_source=chatgpt.com
low,blank_list_property,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1727,"['Quelle', 'ExternalLink', 'ResearchDocument']",q_research_circular_construction_economics_kg_url_a1780454,https://recreate-project.eu/?utm_source=chatgpt.com,url_redirect_chain,Property is an empty list.,[]
medium,url_in_non_url_property,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1727,"['Quelle', 'ExternalLink', 'ResearchDocument']",q_research_circular_construction_economics_kg_url_a1780454,https://recreate-project.eu/?utm_source=chatgpt.com,name,URL-like text appears in a non-URL/provenance property.,https://recreate-project.eu/?utm_source=chatgpt.com
medium,missing_name,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:17270,['DataIssue'],di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153013863583580378,,,Node has no non-empty name property.,
medium,missing_name,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:17271,['DataIssue'],di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153049047955669210,,,Node has no non-empty name property.,
medium,missing_name,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:17272,['DataIssue'],di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153060043071946970,,,Node has no non-empty name property.,
medium,missing_name,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:17273,['DataIssue'],di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153061142583574746,,,Node has no non-empty name property.,
medium,missing_name,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:17274,['DataIssue'],di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153063341606830298,,,Node has no non-empty name property.,
medium,missing_name,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:17275,['DataIssue'],di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155315141420515546,,,Node has no non-empty name property.,
medium,missing_name,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:17276,['DataIssue'],di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1152988574816141530,,,Node has no non-empty name property.,
medium,missing_name,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:17277,['DataIssue'],di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155240374629826778,,,Node has no non-empty name property.,
medium,missing_name,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:17278,['DataIssue'],di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157492174443512026,,,Node has no non-empty name property.,
medium,missing_name,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:17279,['DataIssue'],di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1159743974257197274,,,Node has no non-empty name property.,
low,long_text_property,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1728,"['Quelle', 'ExternalLink', 'ResearchDocument']",q_research_circular_construction_economics_kg_url_fb6c7968,e/circular-construction-case-studies/?utm_source=chatgpt.com,url_response_headers,Text/list property is 527 characters.,"{""age"": ""10411"", ""connection"": ""keep-alive"", ""content-encoding"": ""gzip"", ""content-type"": ""text/html; charset=UTF-8"", ""date"": ""Fri, 22 May 2026 06:48:01 GMT"", ""link"": ""<https://www.structuremag.org/wp-json/>; rel=\""https…"
