property,nodes_with_property,label_count,labels,flags
source_resolution_status,4053,28,Akteur:648; Aufbereitungsverfahren:62; Bauteilgruppe:369; Bauteiltyp:23; Bauwerk:186; Dossier:100; ExternalLink:1610; Huerde:28; Kennwert:258; Leistungsanforderung:46; Material:26; Materialdepot:23; Methode:13; Norm:103; OntologyAnchor:1; Programm:29; Projekt:101; PruefungNachweis:120; Quelle:1927; RechtlicheBedingung:14; ResearchDocument:403; ReuseRule:20; SectionRef:641; Software:19; Tool:8; Verbindungstechnik:15; Wiederverwendungskette:14; Zertifizierungssystem:8,provenance_key
title,3772,3,ExternalLink:3764; Quelle:3772; ResearchDocument:201,
evidence_basis,3713,11,DeprecatedType:13; ExternalLink:3571; Geltungsbereich:6; LCAModule:5; Layer:6; Norm:69; Programm:1; Quelle:3571; RechtlicheBedingung:14; ReuseRule:20; Zertifizierungssystem:8,provenance_key
evidence_confidence,3713,11,DeprecatedType:13; ExternalLink:3571; Geltungsbereich:6; LCAModule:5; Layer:6; Norm:69; Programm:1; Quelle:3571; RechtlicheBedingung:14; ReuseRule:20; Zertifizierungssystem:8,provenance_key
source_trace_migrated_at,3639,18,Akteur:648; Bauteilgruppe:308; Bauteiltyp:23; Bauwerk:173; Dossier:100; ExternalLink:1610; Huerde:28; Kennwert:258; Material:26; Methode:13; Norm:103; OntologyAnchor:1; Programm:13; Projekt:98; Quelle:1927; ResearchDocument:403; ReuseRule:20; SectionRef:641,provenance_key
evidence_excerpt_preview,2843,1,DataIssue:2843,provenance_key
url_final_url,2640,4,ExternalLink:2640; Quelle:2640; ResearchDocument:193; SectionRef:634,provenance_key
url_last_checked_at,2640,4,ExternalLink:2640; Quelle:2640; ResearchDocument:193; SectionRef:634,provenance_key
url_probe_attempts,2640,4,ExternalLink:2640; Quelle:2640; ResearchDocument:193; SectionRef:634,provenance_key
url_probe_duration_ms,2640,4,ExternalLink:2640; Quelle:2640; ResearchDocument:193; SectionRef:634,provenance_key
url_redirect_chain,2640,4,ExternalLink:2640; Quelle:2640; ResearchDocument:193; SectionRef:634,provenance_key
url_status,2640,4,ExternalLink:2640; Quelle:2640; ResearchDocument:193; SectionRef:634,provenance_key
url_user_agent,2640,4,ExternalLink:2640; Quelle:2640; ResearchDocument:193; SectionRef:634,provenance_key
url_wayback_attempted,2640,4,ExternalLink:2640; Quelle:2640; ResearchDocument:193; SectionRef:634,provenance_key
created_at_utc,2591,1,DossierEntityTarget:2591,
entity_type,2591,1,DossierEntityTarget:2591,
entity_value,2591,1,DossierEntityTarget:2591,
entity_value_norm,2591,1,DossierEntityTarget:2591,
exact_match_candidate_ids,2591,1,DossierEntityTarget:2591,
unfolding_kind,2591,1,DossierEntityTarget:2591,
unfolding_origin,2591,1,DossierEntityTarget:2591,
url_response_headers,2569,4,ExternalLink:2569; Quelle:2569; ResearchDocument:193; SectionRef:628,provenance_key
source_urls_updated_at,2411,53,Akteur:648; Akteurrolle:24; Akteurtyp:10; Akzeptanz:7; Aufbereitungsverfahren:62; BauaufgabeIntervention:10; Bauobjektklasse:8; Bauobjektrolle:6; Bauproduktstatus:15; Bausystem:9; Bauteilebene:6; Bauteilgruppe:369; Bauteiltyp:23; Bauweise:6; Bauwerk:186; BauwerkEra:6; Beschaffungsweg:10; Defekt:10; Funktionswechsel:6; Huerde:28; HuerdeKategorie:10; Kennwert:258; LCAModule:5; Layer:6; Leistungsanforderung:46; Logistik:10; Marktmodell:11; MatchingQualitaet:9; Material:26; Materialdepot:23; Materialgruppe:11; Methode:13; Norm:103; Nutzung:9; Programm:29; Projekt:101; Prozessphase:10; PruefungNachweis:120; RechtlicheBedingung:14; Ressourcenquelle:16; ReuseRule:20; Rueckbauverfahren:5; Schadstoff:9; Software:19; Status:9; Tool:8; Tragwerksprinzip:4; Verbindungstechnik:15; WiederverwendungsArt:11; Wiederverwendungskette:14; Wirtschaft:12; Zertifizierungssystem:8; ZustandsKlasse:6,provenance_key
first_seen_in_research,2386,2,ExternalLink:2386; Quelle:2386,
url_http_code,2309,4,ExternalLink:2309; Quelle:2309; ResearchDocument:187; SectionRef:591,provenance_key
url_content_type,2298,4,ExternalLink:2298; Quelle:2298; ResearchDocument:186; SectionRef:588,provenance_key
strict_source_url_cleanup,2164,24,Akteur:558; Aufbereitungsverfahren:62; Bauteilgruppe:369; Bauteiltyp:8; Bauwerk:186; Dossier:98; ExternalLink:30; Kennwert:216; Leistungsanforderung:46; Material:10; Materialdepot:23; Norm:78; Programm:29; Projekt:101; PruefungNachweis:120; Quelle:268; RechtlicheBedingung:14; ResearchDocument:170; ReuseRule:20; Software:19; Tool:8; Verbindungstechnik:15; Wiederverwendungskette:14; Zertifizierungssystem:8,provenance_key
strict_source_url_cleanup_at,2164,24,Akteur:558; Aufbereitungsverfahren:62; Bauteilgruppe:369; Bauteiltyp:8; Bauwerk:186; Dossier:98; ExternalLink:30; Kennwert:216; Leistungsanforderung:46; Material:10; Materialdepot:23; Norm:78; Programm:29; Projekt:101; PruefungNachweis:120; Quelle:268; RechtlicheBedingung:14; ResearchDocument:170; ReuseRule:20; Software:19; Tool:8; Verbindungstechnik:15; Wiederverwendungskette:14; Zertifizierungssystem:8,provenance_key
also_in_research,2127,2,ExternalLink:2127; Quelle:2127,
ref_labels,2108,1,DataIssue:2108,
url_server_header,2019,4,ExternalLink:2019; Quelle:2019; ResearchDocument:146; SectionRef:517,provenance_key
url_content_length_bytes,2000,4,ExternalLink:2000; Quelle:2000; ResearchDocument:167; SectionRef:506,provenance_key
