label,node_count,distinct_property_keys,property_keys
Projekt,101,46,_archive; actor_registry_loader_seen; actor_registry_mentioned; area_m2_gross; area_m2_range_max; area_m2_range_min; bewertung; candidate_source_count; candidate_source_status; candidate_source_urls; co2_facts; cost_facts; id; invalid_candidate_source_urls; migration_origin; name; name_full; node_role; nutzung_text; primary_source_url; project_category; projektstatus_text; quality_tier; quality_tier_facts; raw_year_fields; reuse_share_facts; review_status; source_count; source_freshness_summary; source_quality_summary; source_resolution_status; source_scope; source_trace_migrated_at; source_trace_migration; source_trust_score; source_url; source_url_node_ids; source_urls; source_urls_updated_at; strict_candidate_url_array_cleanup; strict_candidate_url_array_cleanup_at; strict_invalid_url_cleanup; strict_invalid_url_cleanup_at; strict_source_url_cleanup; strict_source_url_cleanup_at; year_completed
Prozessphase,10,5,id; migration_origin; name; source_scope; source_urls_updated_at
PruefungNachweis,120,22,archive_mentioned_in_corpus; archive_mentions; candidate_source_count; candidate_source_status; candidate_source_urls; created_by; id; last_seen_by; migration_origin; name; primary_source_url; review_status; scope_note; source_count; source_resolution_status; source_scope; source_urls; source_urls_updated_at; strict_invalid_url_cleanup; strict_invalid_url_cleanup_at; strict_source_url_cleanup; strict_source_url_cleanup_at
Quelle,5343,86,_archive; _created_at; _created_by; access_date; actor_registry_loader_seen; aliases; also_in_dossier; also_in_edge; also_in_node; also_in_research; candidate_source_count; candidate_source_status; candidate_source_urls; created_at; created_by; demoted_legal_condition_ids; demoted_legal_condition_records; evidence_basis; evidence_confidence; evidence_origin; evidence_source_id; extracted_at; first_seen_in_dossier; first_seen_in_research; id; invalid_candidate_source_urls; invalid_source_url; last_seen_by; legal_condition_demoted_at; legal_condition_demoted_by; legal_condition_evidence_basis; legal_condition_evidence_confidence; legal_condition_evidence_origin; legal_condition_evidence_source_ids; legal_condition_ids; legal_condition_source_edge_ids; legal_conditions; migration_origin; name; primary_source_url; quelltyp; review_status; source_count; source_file; source_resolution_status; source_scope; source_trace_migrated_at; source_trace_migration; source_url; source_url_node_ids; source_urls; strict_candidate_url_array_cleanup; strict_candidate_url_array_cleanup_at; strict_invalid_url_cleanup; strict_invalid_url_cleanup_at; strict_node_url_array_cleanup; strict_node_url_array_cleanup_at; strict_source_url_cleanup; strict_source_url_cleanup_at; text_content_chars_pre_strip; text_content_loaded_at; text_content_retry_attempted_at; text_content_retry_result; text_content_stripped_at; title; url; url_body_cache_format; url_body_cache_path; url_body_md5; url_content_length_bytes; url_content_type; url_final_url; url_http_code; url_last_checked_at; url_last_modified_header; url_origin; url_probe_attempts; url_probe_duration_ms; url_redirect_chain; url_response_headers; url_server_header; url_status; url_user_agent; url_wayback_attempted; url_wayback_snapshot; url_wayback_timestamp
RechtlicheBedingung,14,15,evidence_basis; evidence_confidence; evidence_origin; id; is_universal; migration_origin; name; review_status; scope_note; source_resolution_status; source_scope; source_urls_updated_at; strict_source_url_cleanup; strict_source_url_cleanup_at; stub_note
ResearchDocument,403,59,candidate_source_count; candidate_source_status; candidate_source_urls; created_at; created_by; demoted_legal_condition_ids; demoted_legal_condition_records; extracted_at; id; last_seen_by; legal_condition_demoted_at; legal_condition_demoted_by; legal_condition_evidence_basis; legal_condition_evidence_confidence; legal_condition_evidence_origin; legal_condition_evidence_source_ids; legal_condition_ids; legal_condition_source_edge_ids; legal_conditions; migration_origin; name; primary_source_url; quelltyp; review_status; source_count; source_file; source_resolution_status; source_scope; source_trace_migrated_at; source_trace_migration; source_url; source_url_node_ids; source_urls; strict_invalid_url_cleanup; strict_invalid_url_cleanup_at; strict_source_url_cleanup; strict_source_url_cleanup_at; title; url; url_body_cache_format; url_body_cache_path; url_body_md5; url_content_length_bytes; url_content_type; url_final_url; url_http_code; url_last_checked_at; url_last_modified_header; url_origin; url_probe_attempts; url_probe_duration_ms; url_redirect_chain; url_response_headers; url_server_header; url_status; url_user_agent; url_wayback_attempted; url_wayback_snapshot; url_wayback_timestamp
Ressourcenquelle,16,7,beschreibung; datenqualitaet; id; migration_origin; name; source_scope; source_urls_updated_at
ReuseRule,20,36,candidate_source_count; candidate_source_status; candidate_source_urls; country_iso; country_name; evidence_basis; evidence_confidence; evidence_origin; evidence_source_id; id; key_norms; legal_conditions; material; material_id; migration_origin; name; pollutant_risks; primary_source_url; priority; processing_methods; project_cluster; rank; required_tests; source_count; source_resolution_status; source_scope; source_trace_migrated_at; source_trace_migration; source_url; source_urls; source_urls_updated_at; strict_invalid_url_cleanup; strict_invalid_url_cleanup_at; strict_source_url_cleanup; strict_source_url_cleanup_at; suggested_graph_action
Rueckbauverfahren,5,5,id; migration_origin; name; source_scope; source_urls_updated_at
Schadstoff,9,10,created_by; id; last_seen_by; migration_origin; name; scope; source_scope; source_urls_updated_at; standards_body; topic
