"entity","id","typed_path","title","build_status","markdown_path","dateien_file_count","imported_source_count"
"akteur_beteiligung","55_Great_Suffolk_Street_London__003__Symmetrys","akteur_beteiligung/55_Great_Suffolk_Street_London__003__Symmetrys","Symmetrys - 55 Great Suffolk Street, London — Fallstudie Direct Reuse / zirkuläres Bauen","promoted_phase42","_database/akteur_beteiligung/55_Great_Suffolk_Street_London__003__Symmetrys/index.md","1","1"
"akteur_beteiligung","55_Great_Suffolk_Street_London__004__AKT_II","akteur_beteiligung/55_Great_Suffolk_Street_London__004__AKT_II","AKT II - 55 Great Suffolk Street, London — Fallstudie Direct Reuse / zirkuläres Bauen","promoted_phase42","_database/akteur_beteiligung/55_Great_Suffolk_Street_London__004__AKT_II/index.md","1","1"
"akteur_beteiligung","55_Great_Suffolk_Street_London__005__CBRE","akteur_beteiligung/55_Great_Suffolk_Street_London__005__CBRE","CBRE - 55 Great Suffolk Street, London — Fallstudie Direct Reuse / zirkuläres Bauen","promoted_phase42","_database/akteur_beteiligung/55_Great_Suffolk_Street_London__005__CBRE/index.md","1","1"
"akteur_beteiligung","55_Great_Suffolk_Street_London__006__Opera","akteur_beteiligung/55_Great_Suffolk_Street_London__006__Opera","Opera - 55 Great Suffolk Street, London — Fallstudie Direct Reuse / zirkuläres Bauen","promoted_phase42","_database/akteur_beteiligung/55_Great_Suffolk_Street_London__006__Opera/index.md","1","1"
"akteur_beteiligung","55_Great_Suffolk_Street_London__007__Gardiner_Theobald","akteur_beteiligung/55_Great_Suffolk_Street_London__007__Gardiner_Theobald","Gardiner & Theobald - 55 Great Suffolk Street, London — Fallstudie Direct Reuse / zirkuläres Bauen","promoted_phase42","_database/akteur_beteiligung/55_Great_Suffolk_Street_London__007__Gardiner_Theobald/index.md","1","1"
"akteur_beteiligung","55_Great_Suffolk_Street_London__008__Cantillon","akteur_beteiligung/55_Great_Suffolk_Street_London__008__Cantillon","Cantillon - 55 Great Suffolk Street, London — Fallstudie Direct Reuse / zirkuläres Bauen","promoted_phase42","_database/akteur_beteiligung/55_Great_Suffolk_Street_London__008__Cantillon/index.md","1","1"
"akteur_beteiligung","55_Great_Suffolk_Street_London__009__Cleveland_Steel_and_Tubes","akteur_beteiligung/55_Great_Suffolk_Street_London__009__Cleveland_Steel_and_Tubes","Cleveland Steel and Tubes - 55 Great Suffolk Street, London — Fallstudie Direct Reuse / zirkuläres Bauen","promoted_phase42","_database/akteur_beteiligung/55_Great_Suffolk_Street_London__009__Cleveland_Steel_and_Tubes/index.md","1","1"
"akteur_beteiligung","Association_house_Groeditz__001__Polony_2008_Mettke_Heyn_Dechantsreiter_als_Liter","akteur_beteiligung/Association_house_Groeditz__001__Polony_2008_Mettke_Heyn_Dechantsreiter_als_Liter","Polony 2008; Mettke/Heyn/Dechantsreiter als Literaturquellen - Association house, Gröditz — Fallstudie Direct Reuse / Wiederverwendung von Betonfertigteilen","promoted_phase42","_database/akteur_beteiligung/Association_house_Groeditz__001__Polony_2008_Mettke_Heyn_Dechantsreiter_als_Liter/index.md","1","1"
"akteur_beteiligung","Association_house_Plauen__001__Angelika_Mettke_Heyn_et_al_Dechantsreiter_et_al","akteur_beteiligung/Association_house_Plauen__001__Angelika_Mettke_Heyn_et_al_Dechantsreiter_et_al","Angelika Mettke / Heyn et al. / Dechantsreiter et al. / Fischer et al. - Association house, Plauen — Fallstudie Direct Reuse / Wiederverwendung von Betonfertigteilen","promoted_phase42","_database/akteur_beteiligung/Association_house_Plauen__001__Angelika_Mettke_Heyn_et_al_Dechantsreiter_et_al/index.md","1","1"
"akteur_beteiligung","AWM_Muenster_Circular_Office__001__Abfallwirtschaftsbetriebe_M_nster_urselmann_inte","akteur_beteiligung/AWM_Muenster_Circular_Office__001__Abfallwirtschaftsbetriebe_M_nster_urselmann_inte","Abfallwirtschaftsbetriebe Münster, urselmann interior, Concular, Petra Jablonická, Sven Urselmann - AWM Münster – Zirkulärer Büroausbau 3. OG – Fallstudie Direct Reuse / zirkuläres Bauen","promoted_phase42","_database/akteur_beteiligung/AWM_Muenster_Circular_Office__001__Abfallwirtschaftsbetriebe_M_nster_urselmann_inte/index.md","1","1"
"akteur_beteiligung","BedZED_London_Hackbridge__001__Bill_Dunster_ZEDfactory_BioRegional_Peabody_Trus","akteur_beteiligung/BedZED_London_Hackbridge__001__Bill_Dunster_ZEDfactory_BioRegional_Peabody_Trus","Bill Dunster / ZEDfactory; BioRegional; Peabody Trust; Arup; Ellis & Moore; Gardiner & Theobald - BedZED, London / Hackbridge — Fallstudie Direct Reuse / Bauteilwiederverwendung","promoted_phase42","_database/akteur_beteiligung/BedZED_London_Hackbridge__001__Bill_Dunster_ZEDfactory_BioRegional_Peabody_Trus/index.md","1","1"
"akteur_beteiligung","Berlin_Schildow_Pilot_House_2__001__Herv_Biele_Architekturb_ro_Conclus_Claus_Asam_IE","akteur_beteiligung/Berlin_Schildow_Pilot_House_2__001__Herv_Biele_Architekturb_ro_Conclus_Claus_Asam_IE","Hervé Biele / Architekturbüro Conclus; Claus Asam / IEMB - Berlin-Schildow Pilot House 2 — Fallstudie Direct Reuse / Wiederverwendung von WBS70-Plattenbauteilen","promoted_phase42","_database/akteur_beteiligung/Berlin_Schildow_Pilot_House_2__001__Herv_Biele_Architekturb_ro_Conclus_Claus_Asam_IE/index.md","1","1"
"akteur_beteiligung","Berlin_Schildow_Pilot_House_2__002__Detlev_Lange_Familie_Lange","akteur_beteiligung/Berlin_Schildow_Pilot_House_2__002__Detlev_Lange_Familie_Lange","Detlev Lange / Familie Lange - Berlin-Schildow Pilot House 2 — Fallstudie Direct Reuse / Wiederverwendung von WBS70-Plattenbauteilen","promoted_phase42","_database/akteur_beteiligung/Berlin_Schildow_Pilot_House_2__002__Detlev_Lange_Familie_Lange/index.md","1","1"
"akteur_beteiligung","Berlin_Schildow_Pilot_House__001__Claus_Asam_IEMB_TU_Berlin_Architekturb_ro_Conclu","akteur_beteiligung/Berlin_Schildow_Pilot_House__001__Claus_Asam_IEMB_TU_Berlin_Architekturb_ro_Conclu","Claus Asam, IEMB/TU Berlin; Architekturbüro Conclus / Hervé Biele bzw. Joel Biele - Berlin-Schildow Pilot House — Fallstudie Direct Reuse / Wiederverwendung von WBS70-Plattenbauteilen","promoted_phase42","_database/akteur_beteiligung/Berlin_Schildow_Pilot_House__001__Claus_Asam_IEMB_TU_Berlin_Architekturb_ro_Conclu/index.md","1","1"
