"canonical_target","entity","id","title","legacy_source_count","target_index"
"software_digitaltool/Globechain","software_digitaltool","Globechain","Globechain","2","_graph\software_digitaltool\Globechain\index.md"
"software_digitaltool/IFC_Viewer","software_digitaltool","IFC_Viewer","IFC Viewer","1","_graph\software_digitaltool\IFC_Viewer\index.md"
"software_digitaltool/IfcOpenShell","software_digitaltool","IfcOpenShell","IfcOpenShell","1","_graph\software_digitaltool\IfcOpenShell\index.md"
"software_digitaltool/insert_marketplace","software_digitaltool","insert_marketplace","Insert Marketplace","1","_graph\software_digitaltool\insert_marketplace\index.md"
"software_digitaltool/Klimaschutz_Konfigurator","software_digitaltool","Klimaschutz_Konfigurator","Klimaschutz Konfigurator","2","_graph\software_digitaltool\Klimaschutz_Konfigurator\index.md"
"software_digitaltool/Library_of_Reuse","software_digitaltool","Library_of_Reuse","Library of Reuse","1","_graph\software_digitaltool\Library_of_Reuse\index.md"
"software_digitaltool/Lindner_Group_ReUsed_Products","software_digitaltool","Lindner_Group_ReUsed_Products","Lindner Group ReUsed Products","1","_graph\software_digitaltool\Lindner_Group_ReUsed_Products\index.md"
"software_digitaltool/Loopfront","software_digitaltool","Loopfront","Loopfront","2","_graph\software_digitaltool\Loopfront\index.md"
"software_digitaltool/Maconda_Materialpass","software_digitaltool","Maconda_Materialpass","Maconda Materialpass","1","_graph\software_digitaltool\Maconda_Materialpass\index.md"
"software_digitaltool/Maconda_ROMULUS","software_digitaltool","Maconda_ROMULUS","Maconda ROMULUS","1","_graph\software_digitaltool\Maconda_ROMULUS\index.md"
"software_digitaltool/Madaster","software_digitaltool","Madaster","Madaster — vertieftes Forschungsdossier","2","_graph\software_digitaltool\Madaster\index.md"
"software_digitaltool/Material_Index","software_digitaltool","Material_Index","Material Index","2","_graph\software_digitaltool\Material_Index\index.md"
"software_digitaltool/Material_Reuse_Portal","software_digitaltool","Material_Reuse_Portal","Material Reuse Portal","2","_graph\software_digitaltool\Material_Reuse_Portal\index.md"
"software_digitaltool/Materialdatenbank","software_digitaltool","Materialdatenbank","Materialdatenbank","1","_graph\software_digitaltool\Materialdatenbank\index.md"
"software_digitaltool/materialenbank_leuven_atelier_circuler","software_digitaltool","materialenbank_leuven_atelier_circuler","Materialenbank Leuven / Atelier Circuler","1","_graph\software_digitaltool\materialenbank_leuven_atelier_circuler\index.md"
"software_digitaltool/materialrest24","software_digitaltool","materialrest24","Materialrest24","1","_graph\software_digitaltool\materialrest24\index.md"
"software_digitaltool/mirakel","software_digitaltool","mirakel","MIRAKEL — Mixed Reality and AI for urban mining and reuse assessment","1","_graph\software_digitaltool\mirakel\index.md"
"software_digitaltool/One_Click_LCA","software_digitaltool","One_Click_LCA","One Click LCA","2","_graph\software_digitaltool\One_Click_LCA\index.md"
"software_digitaltool/One_Click_LCA_Building_Circularity","software_digitaltool","One_Click_LCA_Building_Circularity","One Click LCA Building Circularity","1","_graph\software_digitaltool\One_Click_LCA_Building_Circularity\index.md"
"software_digitaltool/oogstkaart_new_horizon","software_digitaltool","oogstkaart_new_horizon","Oogstkaart / New Horizon","1","_graph\software_digitaltool\oogstkaart_new_horizon\index.md"
"software_digitaltool/Opalis","software_digitaltool","Opalis","Opalis","3","_graph\software_digitaltool\Opalis\index.md"
"software_digitaltool/Platform_CB23","software_digitaltool","Platform_CB23","Platform CB23","1","_graph\software_digitaltool\Platform_CB23\index.md"
"software_digitaltool/Pre_Demolition_Audit_Tools","software_digitaltool","Pre_Demolition_Audit_Tools","Pre Demolition Audit Tools","1","_graph\software_digitaltool\Pre_Demolition_Audit_Tools\index.md"
"software_digitaltool/Qflow","software_digitaltool","Qflow","Qflow","1","_graph\software_digitaltool\Qflow\index.md"
"software_digitaltool/QR_RFID_Materialtracking","software_digitaltool","QR_RFID_Materialtracking","QR RFID Materialtracking","1","_graph\software_digitaltool\QR_RFID_Materialtracking\index.md"
"software_digitaltool/r_place","software_digitaltool","r_place","R-Place","1","_graph\software_digitaltool\r_place\index.md"
"software_digitaltool/raedificare","software_digitaltool","raedificare","RAEDIFICARE","1","_graph\software_digitaltool\raedificare\index.md"
"software_digitaltool/re_store_harvestmap_vienna","software_digitaltool","re_store_harvestmap_vienna","re:store / HarvestMAP Vienna","1","_graph\software_digitaltool\re_store_harvestmap_vienna\index.md"
"software_digitaltool/recreate_studio","software_digitaltool","recreate_studio","ReCreate Studio","1","_graph\software_digitaltool\recreate_studio\index.md"
"software_digitaltool/reempro","software_digitaltool","reempro","Réempro","1","_graph\software_digitaltool\reempro\index.md"
"software_digitaltool/resource_marktplaats","software_digitaltool","resource_marktplaats","ReSource Marktplaats","1","_graph\software_digitaltool\resource_marktplaats\index.md"
"software_digitaltool/Restado","software_digitaltool","Restado","Restado","4","_graph\software_digitaltool\Restado\index.md"
"software_digitaltool/reuse_and_trade","software_digitaltool","reuse_and_trade","ReUse and Trade","1","_graph\software_digitaltool\reuse_and_trade\index.md"
"software_digitaltool/ReUse_Toolkit","software_digitaltool","ReUse_Toolkit","ReUse Toolkit","1","_graph\software_digitaltool\ReUse_Toolkit\index.md"
"software_digitaltool/Reusefully_LINK","software_digitaltool","Reusefully_LINK","Reusefully LINK","1","_graph\software_digitaltool\Reusefully_LINK\index.md"
"software_digitaltool/Rheaply","software_digitaltool","Rheaply","Rheaply","1","_graph\software_digitaltool\Rheaply\index.md"
"software_digitaltool/Rhino","software_digitaltool","Rhino","Rhino","2","_graph\software_digitaltool\Rhino\index.md"
"software_digitaltool/RotorDB","software_digitaltool","RotorDB","RotorDB","1","_graph\software_digitaltool\RotorDB\index.md"
"software_digitaltool/RotorDC","software_digitaltool","RotorDC","RotorDC","3","_graph\software_digitaltool\RotorDC\index.md"
"software_digitaltool/SalvoWEB","software_digitaltool","SalvoWEB","SalvoWEB","2","_graph\software_digitaltool\SalvoWEB\index.md"
"software_digitaltool/salza","software_digitaltool","salza","Salza","1","_graph\software_digitaltool\salza\index.md"
"software_digitaltool/sia_261_bezugshoehe","software_digitaltool","sia_261_bezugshoehe","sia 261 bezugshoehe","1","_graph\software_digitaltool\sia_261_bezugshoehe\index.md"
"software_digitaltool/skop_marketplace","software_digitaltool","skop_marketplace","Skop Marketplace","1","_graph\software_digitaltool\skop_marketplace\index.md"
"software_digitaltool/Speckle","software_digitaltool","Speckle","Speckle","1","_graph\software_digitaltool\Speckle\index.md"
"software_digitaltool/Superyard","software_digitaltool","Superyard","Superyard","1","_graph\software_digitaltool\Superyard\index.md"
"software_digitaltool/surplus_building_and_plumbing_materials","software_digitaltool","surplus_building_and_plumbing_materials","Surplus Building & Plumbing Materials","1","_graph\software_digitaltool\surplus_building_and_plumbing_materials\index.md"
"software_digitaltool/sustainability_yard","software_digitaltool","sustainability_yard","Sustainability Yard","1","_graph\software_digitaltool\sustainability_yard\index.md"
"software_digitaltool/Upcyclea","software_digitaltool","Upcyclea","Upcyclea","1","_graph\software_digitaltool\Upcyclea\index.md"
"software_digitaltool/Urban_Mining_Index","software_digitaltool","Urban_Mining_Index","Urban Mining Index","1","_graph\software_digitaltool\Urban_Mining_Index\index.md"
"software_digitaltool/useagain_bauteilclick","software_digitaltool","useagain_bauteilclick","useagain / Bauteilclick","1","_graph\software_digitaltool\useagain_bauteilclick\index.md"
"software_digitaltool/warp_it","software_digitaltool","warp_it","Warp It","1","_graph\software_digitaltool\warp_it\index.md"
