"target","reference_count","role","legacy_path","action"
"akteurtyp/Person","8","secondary","dirk-hebel.md","move_as_core"
"akteurtyp/Person","8","secondary","kerstin-müller.md","move_as_core"
"akteurtyp/Person","8","secondary","person.md","merge_into_index"
"akteurtyp/Person","8","secondary","person\desiree_mann.md","move_as_core"
"akteurtyp/Person","8","secondary","person\ellen_macarthur.md","move_as_core"
"akteurtyp/Person","8","secondary","person\fred_mudge.md","move_as_core"
"akteurtyp/Person","8","secondary","person\gj_bart_van_den_brink.md","move_as_core"
"akteurtyp/Person","8","secondary","person\patrick_teuffel.md","move_as_core"
"tooltyp/Bauteilboerse","6","secondary","akteur\06_bauteilboersen_marktplaetze_handel\Bauteilboerse_Bremen.md","semantic_split"
"tooltyp/Bauteilboerse","6","secondary","akteur\06_bauteilboersen_marktplaetze_handel\Bauteilboerse_Hannover.md","semantic_split"
"tooltyp/Bauteilboerse","6","secondary","akteur\06_bauteilboersen_marktplaetze_handel\Bauteilnetz_Deutschland.md","semantic_split"
"tooltyp/Bauteilboerse","6","secondary","akteur\06_bauteilboersen_marktplaetze_handel\Lindner_Group_ReUsed_Products.md","semantic_split"
"tooltyp/Bauteilboerse","6","secondary","akteur\06_bauteilboersen_marktplaetze_handel\Restado.md","semantic_split"
"tooltyp/Bauteilboerse","6","secondary","akteur\06_bauteilboersen_marktplaetze_handel\Rotor_DC.md","semantic_split"
"akteurtyp/materialinitiativen_hubs","6","secondary","akteur\07_materialinitiativen_hubs\BIZH.md","move_as_core"
"akteurtyp/materialinitiativen_hubs","6","secondary","akteur\07_materialinitiativen_hubs\CRCLR_House.md","move_as_core"
"akteurtyp/materialinitiativen_hubs","6","secondary","akteur\07_materialinitiativen_hubs\Haus_der_Materialisierung.md","move_as_core"
"akteurtyp/materialinitiativen_hubs","6","secondary","akteur\07_materialinitiativen_hubs\IfM_Initiativen_fuer_Materialkreislaeufe.md","move_as_core"
"akteurtyp/materialinitiativen_hubs","6","secondary","akteur\07_materialinitiativen_hubs\Kunst_Stoffe_Berlin.md","move_as_core"
"akteurtyp/materialinitiativen_hubs","6","secondary","akteur\07_materialinitiativen_hubs\Material_Mafia.md","move_as_core"
"akteurtyp/oeffentliche_institutionen_foerderung","6","secondary","akteur\01_oeffentliche_institutionen_foerderung\BBSR_Zukunft_Bau.md","move_as_core"
"akteurtyp/oeffentliche_institutionen_foerderung","6","secondary","akteur\01_oeffentliche_institutionen_foerderung\BIM_Berlin.md","move_as_core"
"akteurtyp/oeffentliche_institutionen_foerderung","6","secondary","akteur\01_oeffentliche_institutionen_foerderung\Bundesstiftung_Bauakademie.md","move_as_core"
"akteurtyp/oeffentliche_institutionen_foerderung","6","secondary","akteur\01_oeffentliche_institutionen_foerderung\Bundesstiftung_Baukultur.md","move_as_core"
"akteurtyp/oeffentliche_institutionen_foerderung","6","secondary","akteur\01_oeffentliche_institutionen_foerderung\ReUse_Berlin.md","move_as_core"
"akteurtyp/oeffentliche_institutionen_foerderung","6","secondary","akteur\01_oeffentliche_institutionen_foerderung\Umweltbundesamt.md","move_as_core"
"beschaffungsweg/Bauteilboerse","6","secondary","akteur\06_bauteilboersen_marktplaetze_handel\Bauteilboerse_Bremen.md","semantic_split"
"beschaffungsweg/Bauteilboerse","6","secondary","akteur\06_bauteilboersen_marktplaetze_handel\Bauteilboerse_Hannover.md","semantic_split"
"beschaffungsweg/Bauteilboerse","6","secondary","akteur\06_bauteilboersen_marktplaetze_handel\Bauteilnetz_Deutschland.md","semantic_split"
"beschaffungsweg/Bauteilboerse","6","secondary","akteur\06_bauteilboersen_marktplaetze_handel\Lindner_Group_ReUsed_Products.md","semantic_split"
"beschaffungsweg/Bauteilboerse","6","secondary","akteur\06_bauteilboersen_marktplaetze_handel\Restado.md","semantic_split"
"beschaffungsweg/Bauteilboerse","6","secondary","akteur\06_bauteilboersen_marktplaetze_handel\Rotor_DC.md","semantic_split"
"datenmodell_or_methode_review","5","secondary","werkzeug\BIM.md","semantic_move"
"datenmodell_or_methode_review","5","secondary","werkzeug\Bonsai_BlenderBIM.md","semantic_move"
"datenmodell_or_methode_review","5","secondary","werkzeug\GIS_Urban_Mining.md","semantic_move"
"datenmodell_or_methode_review","5","secondary","werkzeug\Pre_Demolition_Audit_Tools.md","semantic_move"
"datenmodell_or_methode_review","5","secondary","werkzeug\QR_RFID_Materialtracking.md","semantic_move"
"norm/linked_standard_if_named","5","secondary","norm\Brandschutzanforderung.md","semantic_move"
"norm/linked_standard_if_named","5","secondary","norm\F90.md","semantic_move"
"norm/linked_standard_if_named","5","secondary","norm\Feuerwiderstand.md","semantic_move"
"norm/linked_standard_if_named","5","secondary","norm\R90.md","semantic_move"
"norm/linked_standard_if_named","5","secondary","norm\REI90.md","semantic_move"
"akteurtyp/forschung_lehre_wissenstransfer","4","secondary","akteur\03_forschung_lehre_wissenstransfer\Bauhaus_Erde.md","move_as_core"
"akteurtyp/forschung_lehre_wissenstransfer","4","secondary","akteur\03_forschung_lehre_wissenstransfer\Natural_Building_Lab.md","move_as_core"
"akteurtyp/forschung_lehre_wissenstransfer","4","secondary","akteur\03_forschung_lehre_wissenstransfer\VDI_ZRE.md","move_as_core"
"akteurtyp/forschung_lehre_wissenstransfer","4","secondary","akteur\03_forschung_lehre_wissenstransfer\Wuppertal_Institut.md","move_as_core"
"material/Holz","4","primary","material\Holz.md","move_as_knot"
"material/Holz","4","secondary","material\Holz_Verbindungen.md","split_into_knots"
"material/Holz","4","secondary","tragwerkssystem\Holz_Skelettbau.md","semantic_split"
"material/Holz","4","secondary","tragwerkssystem\to_sort\Holztragwerk.md","semantic_review_split"
"software_digitaltool/Restado","4","secondary","akteur\05_reuse_beratung_prozessdienstleister\Concular.md","semantic_split"
"software_digitaltool/Restado","4","secondary","akteur\06_bauteilboersen_marktplaetze_handel\Restado.md","semantic_split"
"software_digitaltool/Restado","4","primary","bauteilboerse\restado.md","split_platform_profile"
"software_digitaltool/Restado","4","primary","werkzeug\Restado.md","semantic_move"
"material/Stahl","3","primary","material\Stahl.md","move_as_knot"
"material/Stahl","3","secondary","material\Stahl_Verbindungen.md","split_into_knots"
"material/Stahl","3","secondary","tragwerkssystem\Stahl_Skelettbau.md","semantic_split"
"programm_kontext/Lehre_Forschung","3","secondary","gastprofessur.md","merge_into_index"
"programm_kontext/Lehre_Forschung","3","secondary","nachhaltiges-bauen.md","move_as_core"
"programm_kontext/Lehre_Forschung","3","secondary","professur.md","merge_into_index"
"akteurtyp/reuse_beratung_prozessdienstleister","3","secondary","akteur\05_reuse_beratung_prozessdienstleister\Drees_und_Sommer.md","move_as_core"
"akteurtyp/reuse_beratung_prozessdienstleister","3","secondary","akteur\05_reuse_beratung_prozessdienstleister\EPEA.md","move_as_core"
"akteurtyp/reuse_beratung_prozessdienstleister","3","secondary","akteur\05_reuse_beratung_prozessdienstleister\Zirkular_GmbH.md","move_as_core"
"reuse_strategie/Design_for_Disassembly","3","primary","methode\Design_for_Disassembly.md","move_as_knot"
"reuse_strategie/Design_for_Disassembly","3","primary","reuse_strategie\Design_for_Disassembly.md","move_as_knot"
"reuse_strategie/Design_for_Disassembly","3","primary","tragwerkssystem\Design_for_Disassembly.md","semantic_split"
"bauteiltyp/Betonfertigteil","3","primary","bauteil\Betonfertigteil.md","move_as_knot"
"bauteiltyp/Betonfertigteil","3","secondary","tragwerkssystem\Betonfertigteil_System.md","semantic_split"
"bauteiltyp/Betonfertigteil","3","primary","tragwerkssystem\to_sort\Betonfertigteile.md","semantic_review_split"
"methode/Design_for_Disassembly","2","secondary","methode\Design_for_Disassembly.md","move_as_knot"
"methode/Design_for_Disassembly","2","secondary","tragwerkssystem\Design_for_Disassembly.md","semantic_split"
"fallstudie/K118_Kopfbau_Halle_118_Winterthur","2","primary","gebaeude\K118_Kopfbau_Halle_118_Winterthur.md","split_into_case_graph"
"fallstudie/K118_Kopfbau_Halle_118_Winterthur","2","primary","Gebäude\K118_Kopfbau_Halle_118_Winterthur.md","split_into_case_graph"
"software_digitaltool/salvoweb","2","primary","bauteilboerse\salvoweb.md","split_platform_profile"
"software_digitaltool/salvoweb","2","primary","werkzeug\SalvoWEB.md","semantic_move"
"material/Beton","2","primary","material\Beton.md","move_as_knot"
"material/Beton","2","secondary","tragwerkssystem\to_sort\Ortbeton.md","semantic_review_split"
"projekt/K118_Kopfbau_Halle_118_Winterthur","2","secondary","gebaeude\K118_Kopfbau_Halle_118_Winterthur.md","split_into_case_graph"
"projekt/K118_Kopfbau_Halle_118_Winterthur","2","secondary","Gebäude\K118_Kopfbau_Halle_118_Winterthur.md","split_into_case_graph"
"akteurtyp/Professur","2","secondary","nachhaltiges-bauen.md","move_as_core"
"akteurtyp/Professur","2","primary","professur.md","merge_into_index"
"bausystem/Betonfertigteil_System","2","primary","tragwerkssystem\Betonfertigteil_System.md","semantic_split"
"bausystem/Betonfertigteil_System","2","secondary","tragwerkssystem\to_sort\Betonfertigteile.md","semantic_review_split"
"tragwerkstyp/Holztragwerk","2","secondary","tragwerkssystem\Aufstockung_in_Holzbauweise.md","semantic_split"
"tragwerkstyp/Holztragwerk","2","primary","tragwerkssystem\to_sort\Holztragwerk.md","semantic_review_split"
"bauteiltyp/Tragende_Wand","2","primary","tragwerkssystem\to_sort\Tragende_Wände_Kerne.md","semantic_review_split"
"bauteiltyp/Tragende_Wand","2","primary","tragwerkssystem\Tragende_Wand.md","semantic_split"
"tragwerkstyp/Demontierbares_Tragwerk","2","secondary","tragwerkssystem\Design_for_Disassembly.md","semantic_split"
"tragwerkstyp/Demontierbares_Tragwerk","2","secondary","tragwerkssystem\Reversible_Fuegung.md","semantic_split"
"software_digitaltool/Rhino","2","primary","software\Rhino.md","move_as_core"
