"source","relation","old_target","new_target","raw_label","old_confidence","new_confidence","old_resolution_rule","new_resolution_rule"
"reuse_einsatz/Superlocal_Expogebouw_Bleijerheide__003__Heizk_rper_Radiatoren","has_bauteiltyp","bauteiltyp/Technik_TGA","bauteiltyp/Technik","Heizkörper / Radiatoren","rule_high","rule_high","bauteil_heizkoerper","manual_40b_consolidate_Technik_TGA"
"reuse_einsatz/Svanen_Kindergarten_Gladsaxe__009__Lampen","has_bauteiltyp","bauteiltyp/Leuchte","bauteiltyp/Technik","Lampen","rule_high","rule_high","bauteil_lighting","manual_40b_consolidate_Leuchte"
"reuse_einsatz/Svanen_Kindergarten_Gladsaxe__011__Sanit_r","has_bauteiltyp","bauteiltyp/Sanitaerobjekt","bauteiltyp/Technik","Sanitär","rule_high","rule_high","bauteil_sanitary","manual_40b_consolidate_Sanitaerobjekt"
"reuse_einsatz/The_Green_House_Utrecht__009__Beleuchtung_M_bel","has_bauteiltyp","bauteiltyp/Leuchte","bauteiltyp/Technik","Beleuchtung / Möbel","rule_high","rule_high","bauteil_lighting","manual_40b_consolidate_Leuchte"
"reuse_einsatz/The_Green_House_Utrecht__010__TGA_K_che_Solar","has_bauteiltyp","bauteiltyp/Technik_TGA","bauteiltyp/Technik","TGA / Küche / Solar","rule_medium","manual_high","bauteil_tga","manual_40b_consolidate_Technik_TGA"
"reuse_einsatz/Thoravej_29_Copenhagen__005__Innenausstattung_aus_Bestand","has_bauteiltyp","bauteiltyp/Innenausbau","bauteiltyp/Ausbau","Innenausstattung aus Bestand","rule_medium","manual_high","bauteil_innenausbau","manual_40b_consolidate_Innenausbau"
"reuse_einsatz/Timber_Square_London__005__Neue_recycled_content_Stahlbauteile","has_bauteiltyp","bauteiltyp/Leuchte","bauteiltyp/Technik","Neue/recycled-content Stahlbauteile","rule_high","rule_high","bauteil_lighting","manual_40b_consolidate_Leuchte"
"reuse_einsatz/Timber_Square_London__007__Major_plant","has_bauteiltyp","bauteiltyp/Technik_TGA","bauteiltyp/Technik","Major plant","rule_medium","manual_high","bauteil_tga","manual_40b_consolidate_Technik_TGA"
"reuse_einsatz/Timber_Square_London__010__Sanit_r","has_bauteiltyp","bauteiltyp/Sanitaerobjekt","bauteiltyp/Technik","Sanitär","rule_high","rule_high","bauteil_sanitary","manual_40b_consolidate_Sanitaerobjekt"
"reuse_einsatz/TRAE_High_Rise_Aarhus__007__Troldtekt_Akustikplatten","has_bauteiltyp","bauteiltyp/Akustikelement","bauteiltyp/Ausbau","Troldtekt-Akustikplatten","rule_high","rule_high","bauteil_akustik","manual_40b_consolidate_Akustikelement"
"reuse_einsatz/TRAE_High_Rise_Aarhus__008__Akustikfl_chen_aus_Textilien_PET_Filz","has_bauteiltyp","bauteiltyp/Akustikelement","bauteiltyp/Ausbau","Akustikflächen aus Textilien/PET-Filz","rule_high","rule_high","bauteil_akustik","manual_40b_consolidate_Akustikelement"
"reuse_einsatz/TRAE_High_Rise_Aarhus__010__T_ren_Sanit_r_Beleuchtung_TGA","has_bauteiltyp","bauteiltyp/Leuchte","bauteiltyp/Technik","Türen, Sanitär, Beleuchtung, TGA","rule_high","rule_high","bauteil_lighting","manual_40b_consolidate_Leuchte"
"reuse_einsatz/TRAE_High_Rise_Aarhus__010__T_ren_Sanit_r_Beleuchtung_TGA","has_bauteiltyp","bauteiltyp/Sanitaerobjekt","bauteiltyp/Technik","Türen, Sanitär, Beleuchtung, TGA","rule_high","rule_high","bauteil_sanitary","manual_40b_consolidate_Sanitaerobjekt"
"reuse_einsatz/TRAE_High_Rise_Aarhus__010__T_ren_Sanit_r_Beleuchtung_TGA","has_bauteiltyp","bauteiltyp/Technik_TGA","bauteiltyp/Technik","Türen, Sanitär, Beleuchtung, TGA","rule_medium","manual_high","bauteil_tga","manual_40b_consolidate_Technik_TGA"
"reuse_einsatz/Upcycle_Studios_Copenhagen__005__Solarzellen","has_bauteiltyp","bauteiltyp/PV_Anlage","bauteiltyp/Technik","Solarzellen","rule_high","rule_high","bauteil_pv","manual_40b_consolidate_PV_Anlage"
"reuse_einsatz/Upcycle_Studios_Copenhagen__006__W_rmepumpen","has_bauteiltyp","bauteiltyp/Technik_TGA","bauteiltyp/Technik","Wärmepumpen","rule_medium","manual_high","bauteil_tga","manual_40b_consolidate_Technik_TGA"
"reuse_einsatz/Upcycle_Studios_Copenhagen__009__Sanit_r_Beleuchtung_TGA","has_bauteiltyp","bauteiltyp/Leuchte","bauteiltyp/Technik","Sanitär / Beleuchtung / TGA","rule_high","rule_high","bauteil_lighting","manual_40b_consolidate_Leuchte"
