"legacy_path","action","risk_flags","legacy_type","map_title","raw_target","canonical_target","target_role","target_primary","target_secondary"
"akteur\06_bauteilboersen_marktplaetze_handel\Restado.md","semantic_split","market_actor_platform_overlap;check_against_bauteilboerse_and_werkzeug_duplicates","","","akteur/Restado","akteur/Restado","primary","akteur/Restado","software_digitaltool/Restado; tooltyp/Bauteilboerse; beschaffungsweg/Bauteilboerse; ressourcenquelle/Bauteilboerse"
"akteur\06_bauteilboersen_marktplaetze_handel\Restado.md","semantic_split","market_actor_platform_overlap;check_against_bauteilboerse_and_werkzeug_duplicates","","","software_digitaltool/Restado","software_digitaltool/Restado","secondary","akteur/Restado","software_digitaltool/Restado; tooltyp/Bauteilboerse; beschaffungsweg/Bauteilboerse; ressourcenquelle/Bauteilboerse"
"akteur\06_bauteilboersen_marktplaetze_handel\Rotor_DC.md","semantic_split","market_actor_platform_overlap;check_against_bauteilboerse_and_werkzeug_duplicates","","Rotor DC","akteur/Rotor_DC","akteur/Rotor_DC","primary","akteur/Rotor_DC","software_digitaltool/Rotor_DC; tooltyp/Bauteilboerse; beschaffungsweg/Bauteilboerse; ressourcenquelle/Bauteilboerse"
"akteur\06_bauteilboersen_marktplaetze_handel\Rotor_DC.md","semantic_split","market_actor_platform_overlap;check_against_bauteilboerse_and_werkzeug_duplicates","","Rotor DC","software_digitaltool/Rotor_DC","software_digitaltool/RotorDC","secondary","akteur/Rotor_DC","software_digitaltool/Rotor_DC; tooltyp/Bauteilboerse; beschaffungsweg/Bauteilboerse; ressourcenquelle/Bauteilboerse"
"akteur\07_materialinitiativen_hubs\BIZH.md","move_as_core","","","BIZH","akteur/BIZH","akteur/BIZH","primary","akteur/BIZH","akteurtyp/materialinitiativen_hubs"
"akteur\07_materialinitiativen_hubs\CRCLR_House.md","move_as_core","","","CRCLR House","akteur/CRCLR_House","akteur/CRCLR_House","primary","akteur/CRCLR_House","akteurtyp/materialinitiativen_hubs"
"akteur\07_materialinitiativen_hubs\Haus_der_Materialisierung.md","move_as_core","","","Haus der Materialisierung","akteur/Haus_der_Materialisierung","akteur/Haus_der_Materialisierung","primary","akteur/Haus_der_Materialisierung","akteurtyp/materialinitiativen_hubs"
"akteur\07_materialinitiativen_hubs\IfM_Initiativen_fuer_Materialkreislaeufe.md","move_as_core","","","IfM â€“ Initiativen fÃ¼r MaterialkreislÃ¤ufe","akteur/IfM_Initiativen_fuer_Materialkreislaeufe","akteur/IfM_Initiativen_fuer_Materialkreislaeufe","primary","akteur/IfM_Initiativen_fuer_Materialkreislaeufe","akteurtyp/materialinitiativen_hubs"
"akteur\07_materialinitiativen_hubs\Kunst_Stoffe_Berlin.md","move_as_core","","","Kunst-Stoffe Berlin","akteur/Kunst_Stoffe_Berlin","akteur/Kunst_Stoffe_Berlin","primary","akteur/Kunst_Stoffe_Berlin","akteurtyp/materialinitiativen_hubs"
"akteur\07_materialinitiativen_hubs\Material_Mafia.md","move_as_core","","","Material Mafia","akteur/Material_Mafia","akteur/Material_Mafia","primary","akteur/Material_Mafia","akteurtyp/materialinitiativen_hubs"
"akteur\08_digitale_plattformen_daten\Abriss_Atlas.md","semantic_move","old_actor_folder_contains_tool_profile","","","software_digitaltool/Abriss_Atlas","software_digitaltool/Abriss_Atlas","primary","software_digitaltool/Abriss_Atlas","akteur/Architects_For_Future_Deutschland; methode/Abrissmonitoring; kontextmerkmal/Bestandserhalt_Policy"
"akteur\08_digitale_plattformen_daten\Abriss_Atlas.md","semantic_move","old_actor_folder_contains_tool_profile","","","akteur/Architects_For_Future_Deutschland","akteur/Architects_for_Future_Deutschland","secondary","software_digitaltool/Abriss_Atlas","akteur/Architects_For_Future_Deutschland; methode/Abrissmonitoring; kontextmerkmal/Bestandserhalt_Policy"
"akteur\08_digitale_plattformen_daten\Madaster.md","semantic_split","hybrid_actor_platform_profile;duplicate_with_werkzeug_Madaster_Plattform","","","software_digitaltool/Madaster","software_digitaltool/Madaster","primary","software_digitaltool/Madaster","akteur/Madaster; datenmodell/Materialpass; dokumenttyp/Gebaeuderessourcenpass; tooltyp/Materialkataster"
"akteur\08_digitale_plattformen_daten\Madaster.md","semantic_split","hybrid_actor_platform_profile;duplicate_with_werkzeug_Madaster_Plattform","","","akteur/Madaster","akteur/Madaster","secondary","software_digitaltool/Madaster","akteur/Madaster; datenmodell/Materialpass; dokumenttyp/Gebaeuderessourcenpass; tooltyp/Materialkataster"
"akteur\index.md","merge_into_index","index_content_may_contain_unique_gaps_or_cluster_lists","","Index","akteur/index","akteur/index","primary","akteur/index",""
"akteur\Unternehmerverband_Historische_Baustoffe_UHB.md","move_as_core","","","Unternehmerverband Historische Baustoffe e.V. (UHB)","akteur/Unternehmerverband_Historische_Baustoffe_UHB","akteur/Unternehmerverband_Historische_Baustoffe_UHB","primary","akteur/Unternehmerverband_Historische_Baustoffe_UHB","akteurtyp/Unternehmerverband_Historische_Baustoffe_UHB_md"
"bauteilboerse\articonnex.md","split_platform_profile","duplicate_with_akteur_or_werkzeug","BauteilbÃ¶rse","Articonnex","software_digitaltool/articonnex","software_digitaltool/articonnex","primary","software_digitaltool/articonnex","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching"
"bauteilboerse\backacia.md","split_platform_profile","duplicate_with_akteur_or_werkzeug","BauteilbÃ¶rse","Backacia","software_digitaltool/backacia","software_digitaltool/backacia","primary","software_digitaltool/backacia","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching"
"bauteilboerse\baticycle.md","split_platform_profile","duplicate_with_akteur_or_werkzeug","BauteilbÃ¶rse","BÃ¢ticycle","software_digitaltool/baticycle","software_digitaltool/baticycle","primary","software_digitaltool/baticycle","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching"
"bauteilboerse\batiterre.md","split_platform_profile","duplicate_with_akteur_or_werkzeug","BauteilbÃ¶rse","BatiTerre","software_digitaltool/batiterre","software_digitaltool/batiterre","primary","software_digitaltool/batiterre","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching"
"bauteilboerse\batrecup.md","split_platform_profile","duplicate_with_akteur_or_werkzeug","BauteilbÃ¶rse","BatRecup","software_digitaltool/batrecup","software_digitaltool/batrecup","primary","software_digitaltool/batrecup","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching"
"bauteilboerse\baukarussell.md","split_platform_profile","duplicate_with_akteur_or_werkzeug","BauteilbÃ¶rse","BauKarussell","software_digitaltool/baukarussell","software_digitaltool/baukarussell","primary","software_digitaltool/baukarussell","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching"
"bauteilboerse\bauteilboerse-bremen.md","split_platform_profile","duplicate_with_akteur_or_werkzeug","BauteilbÃ¶rse","BauteilbÃ¶rse Bremen","software_digitaltool/bauteilboerse_bremen","software_digitaltool/Bauteilboerse_Bremen","primary","software_digitaltool/bauteilboerse_bremen","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching"
"bauteilboerse\bauteilladen-winterthur.md","split_platform_profile","duplicate_with_akteur_or_werkzeug","BauteilbÃ¶rse","Bauteilladen Winterthur","software_digitaltool/bauteilladen_winterthur","software_digitaltool/bauteilladen_winterthur","primary","software_digitaltool/bauteilladen_winterthur","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching"
"bauteilboerse\bauteilnetz-deutschland.md","split_platform_profile","duplicate_with_akteur_or_werkzeug","BauteilbÃ¶rse","Bauteilnetz Deutschland","software_digitaltool/bauteilnetz_deutschland","software_digitaltool/Bauteilnetz_Deutschland","primary","software_digitaltool/bauteilnetz_deutschland","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching"
"bauteilboerse\building-spares-market.md","split_platform_profile","duplicate_with_akteur_or_werkzeug","BauteilbÃ¶rse","Building Spares Market","software_digitaltool/building_spares_market","software_digitaltool/building_spares_market","primary","software_digitaltool/building_spares_market","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching"
"bauteilboerse\cornermat-retrival.md","split_platform_profile","duplicate_with_akteur_or_werkzeug","BauteilbÃ¶rse","Cornermat / Retrival","software_digitaltool/cornermat_retrival","software_digitaltool/cornermat_retrival","primary","software_digitaltool/cornermat_retrival","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching"
"bauteilboerse\cycle-up.md","split_platform_profile","duplicate_with_akteur_or_werkzeug","BauteilbÃ¶rse","Cycle Up","software_digitaltool/cycle_up","software_digitaltool/Cycle_Up","primary","software_digitaltool/cycle_up","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching"
"bauteilboerse\cycle-zero.md","split_platform_profile","duplicate_with_akteur_or_werkzeug","BauteilbÃ¶rse","Cycle ZÃ©ro","software_digitaltool/cycle_zero","software_digitaltool/cycle_zero","primary","software_digitaltool/cycle_zero","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching"
"bauteilboerse\enviromate.md","split_platform_profile","duplicate_with_akteur_or_werkzeug","BauteilbÃ¶rse","Enviromate","software_digitaltool/enviromate","software_digitaltool/enviromate","primary","software_digitaltool/enviromate","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching"
"bauteilboerse\gebruiktebouwmaterialen-gbm.md","split_platform_profile","duplicate_with_akteur_or_werkzeug","BauteilbÃ¶rse","Gebruiktebouwmaterialen.com / GBM","software_digitaltool/gebruiktebouwmaterialen_gbm","software_digitaltool/gebruiktebouwmaterialen_gbm","primary","software_digitaltool/gebruiktebouwmaterialen_gbm","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching"
"bauteilboerse\genbyg.md","split_platform_profile","duplicate_with_akteur_or_werkzeug","BauteilbÃ¶rse","Genbyg","software_digitaltool/genbyg","software_digitaltool/genbyg","primary","software_digitaltool/genbyg","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching"
"bauteilboerse\globechain.md","split_platform_profile","duplicate_with_akteur_or_werkzeug","BauteilbÃ¶rse","Globechain","software_digitaltool/globechain","software_digitaltool/Globechain","primary","software_digitaltool/globechain","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching"
"bauteilboerse\insert-marketplace.md","split_platform_profile","duplicate_with_akteur_or_werkzeug","BauteilbÃ¶rse","Insert Marketplace","software_digitaltool/insert_marketplace","software_digitaltool/insert_marketplace","primary","software_digitaltool/insert_marketplace","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching"
