"legacy_path","exists","covered_after_phase5","action","target_primary","target_secondary"
"akteur\07_materialinitiativen_hubs\Haus_der_Materialisierung.md","True","True","move_as_core","akteur/Haus_der_Materialisierung","akteurtyp/materialinitiativen_hubs"
"akteur\07_materialinitiativen_hubs\IfM_Initiativen_fuer_Materialkreislaeufe.md","True","True","move_as_core","akteur/IfM_Initiativen_fuer_Materialkreislaeufe","akteurtyp/materialinitiativen_hubs"
"akteur\07_materialinitiativen_hubs\Kunst_Stoffe_Berlin.md","True","True","move_as_core","akteur/Kunst_Stoffe_Berlin","akteurtyp/materialinitiativen_hubs"
"akteur\07_materialinitiativen_hubs\Material_Mafia.md","True","True","move_as_core","akteur/Material_Mafia","akteurtyp/materialinitiativen_hubs"
"akteur\08_digitale_plattformen_daten\Abriss_Atlas.md","True","True","semantic_move","software_digitaltool/Abriss_Atlas","akteur/Architects_For_Future_Deutschland; methode/Abrissmonitoring; kontextmerkmal/Bestandserhalt_Policy"
"akteur\08_digitale_plattformen_daten\Madaster.md","True","True","semantic_split","software_digitaltool/Madaster","akteur/Madaster; datenmodell/Materialpass; dokumenttyp/Gebaeuderessourcenpass; tooltyp/Materialkataster"
"akteur\index.md","True","True","merge_into_index","akteur/index",""
"akteur\Research\00_INDEX.md","True","True","archive_as_source","quelle/00_INDEX",""
"akteur\Research\Interviewleitfaden.md","True","True","archive_as_source","quelle/Interviewleitfaden",""
"akteur\Unternehmerverband_Historische_Baustoffe_UHB.md","True","True","move_as_core","akteur/Unternehmerverband_Historische_Baustoffe_UHB","akteurtyp/Unternehmerverband_Historische_Baustoffe_UHB_md"
"aufbereitungsmethode.md","True","True","merge_into_index","aufbereitungsverfahren/index",""
"aufbereitungsmethode\Drahtglasschneiden.md","True","True","move_as_knot","aufbereitungsverfahren/Drahtglasschneiden",""
"aufbereitungsmethode\Entmoertelung_von_Fliesen.md","True","True","move_as_knot","aufbereitungsverfahren/Entmoertelung_von_Fliesen",""
"aufbereitungsmethode\Holzaufbereitung.md","True","True","move_as_knot","aufbereitungsverfahren/Holzaufbereitung",""
"aufbereitungsmethode\index.md","True","True","merge_into_index","aufbereitungsverfahren/index",""
"aufbereitungsmethode\Leuchten_Refurbishment.md","True","True","move_as_knot","aufbereitungsverfahren/Leuchten_Refurbishment",""
"aufbereitungsmethode\Qualitaetssicherung.md","True","True","move_as_knot","aufbereitungsverfahren/Qualitaetssicherung",""
"aufbereitungsmethode\Rekonditionierung.md","True","True","move_as_knot","aufbereitungsverfahren/Rekonditionierung",""
"aufbereitungsmethode\Reparatur.md","True","True","move_as_knot","aufbereitungsverfahren/Reparatur",""
"bauteil.md","True","True","merge_into_index","bauteiltyp/index",""
"bauteil\Betonfertigteil.md","True","True","move_as_knot","bauteiltyp/Betonfertigteil",""
"bauteil\Brettschichtholzstuetze.md","True","True","move_as_knot","bauteiltyp/Brettschichtholzstuetze",""
"bauteil\Brettsperrholzdecke.md","True","True","move_as_knot","bauteiltyp/Brettsperrholzdecke",""
"bauteil\Dachtragwerk.md","True","True","move_as_knot","bauteiltyp/Dachtragwerk",""
"bauteil\Deckenplatte.md","True","True","move_as_knot","bauteiltyp/Deckenplatte",""
"bauteil\Fachwerktraeger.md","True","True","move_as_knot","bauteiltyp/Fachwerktraeger",""
"bauteil\Fassade.md","True","True","move_as_knot","bauteiltyp/Fassade",""
"bauteil\Fenster.md","True","True","move_as_knot","bauteiltyp/Fenster",""
"bauteil\Feuerschutztuer.md","True","True","move_as_knot","bauteiltyp/Feuerschutztuer",""
"bauteil\Holzrahmenelement.md","True","True","move_as_knot","bauteiltyp/Holzrahmenelement",""
"bauteil\index.md","True","True","merge_into_index","bauteiltyp/index",""
"bauteil\Leuchte.md","True","True","move_as_knot","bauteiltyp/Leuchte",""
"bauteil\Pfette.md","True","True","move_as_knot","bauteiltyp/Pfette",""
"bauteil\Sanitaerobjekt.md","True","True","move_as_knot","bauteiltyp/Sanitaerobjekt",""
"bauteil\Stuetze.md","True","True","move_as_knot","bauteiltyp/Stuetze",""
"bauteil\Traeger.md","True","True","move_as_knot","bauteiltyp/Traeger",""
"bauteil\Treppe.md","True","True","move_as_knot","bauteiltyp/Treppe",""
"bauteil\Treppenwange.md","True","True","move_as_knot","bauteiltyp/Treppenwange",""
"bauteil\Wand.md","True","True","move_as_knot","bauteiltyp/Wand",""
"bauteilboerse\articonnex.md","True","True","split_platform_profile","software_digitaltool/articonnex","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching"
"bauteilboerse\backacia.md","True","True","split_platform_profile","software_digitaltool/backacia","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching"
"bauteilboerse\baticycle.md","True","True","split_platform_profile","software_digitaltool/baticycle","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching"
"bauteilboerse\batiterre.md","True","True","split_platform_profile","software_digitaltool/batiterre","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching"
"bauteilboerse\batrecup.md","True","True","split_platform_profile","software_digitaltool/batrecup","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching"
"bauteilboerse\baukarussell.md","True","True","split_platform_profile","software_digitaltool/baukarussell","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching"
"bauteilboerse\bauteilboerse-bremen.md","True","True","split_platform_profile","software_digitaltool/bauteilboerse_bremen","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching"
"bauteilboerse\bauteilladen-winterthur.md","True","True","split_platform_profile","software_digitaltool/bauteilladen_winterthur","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching"
"bauteilboerse\bauteilnetz-deutschland.md","True","True","split_platform_profile","software_digitaltool/bauteilnetz_deutschland","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching"
"bauteilboerse\building-spares-market.md","True","True","split_platform_profile","software_digitaltool/building_spares_market","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching"
"bauteilboerse\cornermat-retrival.md","True","True","split_platform_profile","software_digitaltool/cornermat_retrival","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching"
"bauteilboerse\cycle-up.md","True","True","split_platform_profile","software_digitaltool/cycle_up","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching"
