"source","relation","target","raw_label","confidence","resolution_rule","legacy_path"
"reuse_einsatz/Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot__001__Hohlk_rperdecken_kanaalplaatvloeren","has_prozessphase","prozessphase/Rueckbau","demontiert, gelagert, gekürzt mit Spezial-Setup","rule_high","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot__004__sonstige_Materialien","has_prozessphase","prozessphase/Rueckbau","zirkulär demontiert","rule_high","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/Circular_Pavilion_Paris__001__Holzt_ren","has_prozessphase","prozessphase/Rueckbau","Demontage, Anordnung als Fassade","rule_high","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/Circular_Pavilion_Paris__002__Mineral_Steinwolle","has_prozessphase","prozessphase/Rueckbau","Ausbau und Wiedereinbau","rule_high","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/Circular_Pavilion_Paris__002__Mineral_Steinwolle","has_prozessphase","prozessphase/Wiedereinbau","Ausbau und Wiedereinbau","rule_high","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/Circular_Pavilion_Paris__004__ehemalige_Ausstellungspaneele","has_prozessphase","prozessphase/Rueckbau","Wiederverwendung als Innenausbau","rule_high","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/Circular_Pavilion_Paris__007__50_St_hle","has_prozessphase","prozessphase/Aufbereitung","Reparatur, Lackierung","rule_high","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/ELYS_Kultur_Gewerbehaus_Basel__001__Holzrahmen_Fassade","has_prozessphase","prozessphase/Aufbereitung","Vorfertigung, Zuschnitt, Kombination heterogener Bauteile","rule_high","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/ELYS_Kultur_Gewerbehaus_Basel__002__Aluminium_Trapezblech","has_prozessphase","prozessphase/Rueckbau","demontiert, zugeschnitten/aufbereitet unbekannt","rule_medium","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/ELYS_Kultur_Gewerbehaus_Basel__003__Fenster","has_prozessphase","prozessphase/Wiedereinbau","Einbau aus Restposten; ggf. Reparaturfonds statt Garantie","rule_medium","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/ELYS_Kultur_Gewerbehaus_Basel__003__Fenster","has_prozessphase","prozessphase/Aufbereitung","Einbau aus Restposten; ggf. Reparaturfonds statt Garantie","rule_medium","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/ELYS_Kultur_Gewerbehaus_Basel__005__Steinwolled_mmung","has_prozessphase","prozessphase/Identifikation","Sortierung und Zuschnitt","rule_high","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/ELYS_Kultur_Gewerbehaus_Basel__005__Steinwolled_mmung","has_prozessphase","prozessphase/Aufbereitung","Sortierung und Zuschnitt","rule_high","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/ELYS_Kultur_Gewerbehaus_Basel__006__Gitterroste_Br_stungsgitter","has_prozessphase","prozessphase/Aufbereitung","umfunktioniert","rule_high","label_50d_prozessphase_eingriff_aufbereitung",""
